Time - Sample	Amplitude - Sample
43868	1181
43869	2939
43870	2939
43871	2939
43872	2939
43873	1181
43874	1181
43875	1182
43876	1181
43877	1199
43878	2939
43879	2939
43880	2939
43881	2939
43882	1181
43883	1181
43884	1181
43885	1182
43886	2939
43887	2939
43888	2939
43889	2939
43890	1181
43891	1181
43892	1181
43893	1182
43894	2939
43895	2939
43896	2939
43897	2939
43898	1181
43899	1181
43900	1182
43901	1181
43902	2940
43903	2939
43904	2938
43905	2939
43906	2916
43907	1181
43908	1182
43909	1181
43910	1182
43911	2939
43912	2939
43913	2939
43914	2939
43915	1181
43916	1182
43917	1181
43918	1182
43919	2939
43920	2939
43921	2939
43922	2939
43923	1181
43924	1182
43925	1181
43926	1182
43927	2939
43928	2939
43929	2939
43930	2939
43931	1181
43932	1181
43933	1181
43934	1181
43935	2939
43936	2939
43937	2939
43938	2939
43939	1181
43940	1181
43941	1181
43942	1182
43943	2939
43944	2939
43945	2939
43946	2939
43947	1180
43948	1181
43949	1181
43950	1181
43951	1183
43952	2939
43953	2939
43954	2939
43955	2939
43956	1181
43957	1181
43958	1181
43959	1181
43960	2939
43961	2939
43962	2939
43963	2939
43964	1181
43965	1181
43966	1181
43967	1181
